,date,symbol,source,field,value
0,2022-05-11,FUTURE_VOL_CBT_BOM2022_50,refinitiv,PRICE_OPEN,90.84
1,2022-05-11,FUTURE_VOL_CBT_BOM2022_60,refinitiv,PRICE_OPEN,77.45
2,2022-05-11,FUTURE_VOL_CBT_BOM2022_70,refinitiv,PRICE_OPEN,64.32
3,2022-05-11,FUTURE_VOL_CBT_BOM2022_75,refinitiv,PRICE_OPEN,57.75
4,2022-05-11,FUTURE_VOL_CBT_BOM2022_80,refinitiv,PRICE_OPEN,51.23
5,2022-05-11,FUTURE_VOL_CBT_BOM2022_85,refinitiv,PRICE_OPEN,45.04
6,2022-05-11,FUTURE_VOL_CBT_BOM2022_90,refinitiv,PRICE_OPEN,39.89
7,2022-05-11,FUTURE_VOL_CBT_BOM2022_95,refinitiv,PRICE_OPEN,37.02
8,2022-05-11,FUTURE_VOL_CBT_BOM2022_100,refinitiv,PRICE_OPEN,36.99
9,2022-05-11,FUTURE_VOL_CBT_BOM2022_105,refinitiv,PRICE_OPEN,38.94
10,2022-05-11,FUTURE_VOL_CBT_BOM2022_110,refinitiv,PRICE_OPEN,41.71
11,2022-05-11,FUTURE_VOL_CBT_BOM2022_115,refinitiv,PRICE_OPEN,44.7
12,2022-05-11,FUTURE_VOL_CBT_BOM2022_120,refinitiv,PRICE_OPEN,47.65
13,2022-05-11,FUTURE_VOL_CBT_BOM2022_125,refinitiv,PRICE_OPEN,50.45
14,2022-05-11,FUTURE_VOL_CBT_BOM2022_130,refinitiv,PRICE_OPEN,53.09
15,2022-05-11,FUTURE_VOL_CBT_BOM2022_140,refinitiv,PRICE_OPEN,57.89
16,2022-05-11,FUTURE_VOL_CBT_BOM2022_150,refinitiv,PRICE_OPEN,62.12
17,2022-05-11,FUTURE_VOL_CBT_BON2022_50,refinitiv,PRICE_OPEN,56.22
18,2022-05-11,FUTURE_VOL_CBT_BON2022_60,refinitiv,PRICE_OPEN,48.76
19,2022-05-11,FUTURE_VOL_CBT_BON2022_70,refinitiv,PRICE_OPEN,41.77
20,2022-05-11,FUTURE_VOL_CBT_BON2022_75,refinitiv,PRICE_OPEN,38.55
21,2022-05-11,FUTURE_VOL_CBT_BON2022_80,refinitiv,PRICE_OPEN,35.76
22,2022-05-11,FUTURE_VOL_CBT_BON2022_85,refinitiv,PRICE_OPEN,33.77
23,2022-05-11,FUTURE_VOL_CBT_BON2022_90,refinitiv,PRICE_OPEN,32.9
24,2022-05-11,FUTURE_VOL_CBT_BON2022_95,refinitiv,PRICE_OPEN,33.0
25,2022-05-11,FUTURE_VOL_CBT_BON2022_100,refinitiv,PRICE_OPEN,33.66
26,2022-05-11,FUTURE_VOL_CBT_BON2022_105,refinitiv,PRICE_OPEN,34.56
27,2022-05-11,FUTURE_VOL_CBT_BON2022_110,refinitiv,PRICE_OPEN,35.54
28,2022-05-11,FUTURE_VOL_CBT_BON2022_115,refinitiv,PRICE_OPEN,36.55
29,2022-05-11,FUTURE_VOL_CBT_BON2022_120,refinitiv,PRICE_OPEN,37.53
30,2022-05-11,FUTURE_VOL_CBT_BON2022_125,refinitiv,PRICE_OPEN,38.49
31,2022-05-11,FUTURE_VOL_CBT_BON2022_130,refinitiv,PRICE_OPEN,39.4
32,2022-05-11,FUTURE_VOL_CBT_BON2022_140,refinitiv,PRICE_OPEN,41.12
33,2022-05-11,FUTURE_VOL_CBT_BON2022_150,refinitiv,PRICE_OPEN,42.68
34,2022-05-11,FUTURE_VOL_CBT_BOQ2022_50,refinitiv,PRICE_OPEN,47.14
35,2022-05-11,FUTURE_VOL_CBT_BOQ2022_60,refinitiv,PRICE_OPEN,42.04
36,2022-05-11,FUTURE_VOL_CBT_BOQ2022_70,refinitiv,PRICE_OPEN,37.42
37,2022-05-11,FUTURE_VOL_CBT_BOQ2022_75,refinitiv,PRICE_OPEN,35.37
38,2022-05-11,FUTURE_VOL_CBT_BOQ2022_80,refinitiv,PRICE_OPEN,33.69
39,2022-05-11,FUTURE_VOL_CBT_BOQ2022_85,refinitiv,PRICE_OPEN,32.68
40,2022-05-11,FUTURE_VOL_CBT_BOQ2022_90,refinitiv,PRICE_OPEN,32.46
41,2022-05-11,FUTURE_VOL_CBT_BOQ2022_95,refinitiv,PRICE_OPEN,32.81
42,2022-05-11,FUTURE_VOL_CBT_BOQ2022_100,refinitiv,PRICE_OPEN,33.41
43,2022-05-11,FUTURE_VOL_CBT_BOQ2022_105,refinitiv,PRICE_OPEN,34.11
