,Identifier,IdentifierType,UserDefinedIdentifier,Exchange,Base,Bloomberg Ticker,Description,Currency,Instrument List Name by Ticker,Instrument List Name by Exchange,Market Close,Important
0,1BOSURF4,ChainRIC,BO,CBT,1BO,BO,Soybean Oil,USD,Commodity_Vol_Surface_BO,Commodity_Vol_Surface_CBT,14:30,Yes
1,1CSURF4,ChainRIC,C,CBT,1C,C,Corn,USD,Commodity_Vol_Surface_C,Commodity_Vol_Surface_CBT,14:30,Yes
2,1KWSURF4,ChainRIC,KW,CBT,1KW,KW,Wheat,USD,Commodity_Vol_Surface_KW,Commodity_Vol_Surface_CBT,14:30,Yes
3,1OSURF4,ChainRIC,O,CBT,1O,O,Oats,USD,Commodity_Vol_Surface_O,Commodity_Vol_Surface_CBT,14:30,No
4,1RRSURF4,ChainRIC,RR,CBT,1RR,RR,Rough Rice,USD,Commodity_Vol_Surface_RR,Commodity_Vol_Surface_CBT,14:30,No
5,1SSURF4,ChainRIC,S,CBT,1S,S,Soybeans,USD,Commodity_Vol_Surface_S,Commodity_Vol_Surface_CBT,14:30,Yes
6,1SMSURF4,ChainRIC,SM,CBT,1SM,SM,Soybean Meal,USD,Commodity_Vol_Surface_SM,Commodity_Vol_Surface_CBT,14:30,Yes
7,1WSURF4,ChainRIC,W,CBT,1W,W,Wheat SRW,USD,Commodity_Vol_Surface_W,Commodity_Vol_Surface_CBT,14:30,Yes
8,2DCSSURF4,ChainRIC,DA,CME,2DCS,DA,Class III Milk,USD,Commodity_Vol_Surface_DA,Commodity_Vol_Surface_CME,17:00,No
9,2JQSURF4,ChainRIC,DG,CME,2JQ,DG,Mid Sized Milk,USD,Commodity_Vol_Surface_DG,Commodity_Vol_Surface_CME,17:00,No
10,2FCSURF4,ChainRIC,FC,CME,2FC,FC,Cattle (Feeder),USD,Commodity_Vol_Surface_FC,Commodity_Vol_Surface_CME,14:05,No
11,2LBSURF4,ChainRIC,LB,CME,2LB,LB,Random Len Lumber,USD,Commodity_Vol_Surface_LB,Commodity_Vol_Surface_CME,16:05,No
12,2LCSURF4,ChainRIC,LC,CME,2LC,LC,Cattle (Live),USD,Commodity_Vol_Surface_LC,Commodity_Vol_Surface_CME,14:05,Yes
