,User Defined Identifier,Instrument Name,RIC,Trade Date,Trade Time,Expiration Date,Period,Term,Volatility Surface Term,Risk Free Interest Rate,Open Implied Volatility,Last Implied Volatility,High Implied Volatility,Close Implied Volatility,Strike Price,Option Premium,Premium,General Value6,General Value7,Precision,Previous Close Date,Previous Close Price,Last Update Time,Instrument Snap Time,Asset Type Description,Contributor Short Name,Exchange Description,Currency Code,Embargo Times,Maximum Embargo Delay,Real Time Permitted
0,,CME BO 50% c1,1BO50Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,50%,0.93,90.84,92.83,95.66,90.73,41.42,0.0,0.0,83.45,82.84,2DP,05/11/2022,90.73,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
1,,CME BO 60% c1,1BO60Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,60%,0.93,77.45,79.17,81.77,77.33,49.7,0.0,0.0,83.45,82.84,2DP,05/11/2022,77.33,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
2,,CME BO 70% c1,1BO70Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,70%,0.93,64.32,65.74,68.13,64.18,57.99,0.0,0.0,83.45,82.84,2DP,05/11/2022,64.18,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
3,,CME BO 75% c1,1BO75Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,75%,0.93,57.75,58.99,61.27,57.6,62.13,0.0,0.0,83.45,82.84,2DP,05/11/2022,57.6,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
4,,CME BO 80% c1,1BO80Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,80%,0.93,51.23,52.25,54.4,51.09,66.27,0.0,0.0,83.45,82.84,2DP,05/11/2022,51.09,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
5,,CME BO 85% c1,1BO85Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,85%,0.93,45.04,45.74,47.73,44.91,70.41,0.01,0.02,83.45,82.84,2DP,05/11/2022,44.91,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
6,,CME BO 90% c1,1BO90Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,90%,0.93,39.89,40.15,42.04,39.81,74.56,0.07,0.09,83.45,82.84,2DP,05/11/2022,39.81,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
7,,CME BO 95% c1,1BO95Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,95%,0.93,37.02,36.87,38.96,36.99,78.7,0.41,0.49,83.45,82.84,2DP,05/11/2022,36.99,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
8,,CME BO 100% c1,1BO100Nc1O=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,100%,0.93,36.99,36.87,39.25,37.01,82.84,1.8,1.93,83.45,82.84,2DP,05/11/2022,37.01,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
9,,CME BO 105% c1,1BO105Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,105%,0.93,38.94,39.24,41.06,38.98,86.98,0.55,0.63,83.45,82.84,2DP,05/11/2022,38.98,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
10,,CME BO 110% c1,1BO110Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,110%,0.93,41.71,42.59,44.3,41.78,91.12,0.16,0.19,83.45,82.84,2DP,05/11/2022,41.78,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
11,,CME BO 115% c1,1BO115Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,115%,0.93,44.7,46.13,47.92,44.79,95.27,0.05,0.06,83.45,82.84,2DP,05/11/2022,44.79,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
